Disease,Outbreak-2005,Attack-2005,Death-2005,Outbreak-2006,Attack-2006,Death-2006,Outbreak-2007,Attack-2007,Death-2007,Outbreak-2008,Attack-2008,Death-2008,Outbreak-2009,Attack-2009,Death-2009,Outbreak-2010,Attack-2010,Death-2010,Outbreak-2011,Attack-2011,Death-2011,Outbreak-2012,Attack-2012,Death-2012,Outbreak-2013,Attack-2013,Death-2013,Outbreak-2014,Attack-2014,Death-2014,Outbreak-2015,Attack-2015,Death-2015
Foot & Mouth Disease,2270,81909,2797,1646,65073,428,1547,51101,1338,449,12753,278,902,26527,473,422,19982,361,701,12847,218,879,25258,1026,377,87109,8843,238,26216,1822,109,2868,92
Haemorrhagic Septicaemia,775,4753,2229,770,5143,1983,470,3563,1252,359,2519,1082,296,3729,1595,380,9170,2150,315,2918,812,248,4097,786,135,1716,453,131,6816,541,89,2135,586
Black Quarter,519,2396,956,534,2261,1062,467,2037,768,294,883,365,322,1109,481,369,4707,514,417,2676,900,279,1575,606,177,1610,371,118,4285,297,98,851,301
Anthrax,119,668,569,113,616,453,111,490,452,68,916,701,60,1627,478,84,658,338,48,362,323,32,222,108,31,1645,146,55,2180,2180,49,254,254
Fascioliasis,67,311252,96,66,527668,22,85,391632,29,84,375347,6,115,345348,67,165,NA,96,234,511016,48,154,773292,23,157,803769,33,192,6009,52,80,2749,0
Enterotoxaemia,521,9806,3158,461,3974,1932,462,6782,1969,283,2970,888,153,2167,533,138,1609,596,71,1116,242,31,614,102,43,451,164,50,1388,308,48,785,184
Sheep & Goat Pox,529,21292,2834,1389,19935,5357,777,18261,3681,63,2279,689,105,2006,592,241,4009,973,197,3861,698,116,2360,236,55,913,163,88,2650,503,114,2071,175
Cow Pox,NA,NA,NA,1,10,NA,2,3,NA,3,22,NA,2,50,NA,NA,NA,NA,2,24,3,2,15,0,1,75,12,NA,NA,NA,NA,NA,NA
Buffalo Pox,NA,NA,NA,17,181,NA,9,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Tongue,1183,280788,64086,154,4951,651,302,3856,545,132,2903,342,73,2999,688,41,1501,78,38,2212,136,5,159,65,13,1021,67,14,659,145,23,60867,6285
C.C.P.P.,12,1067,305,1,45,19,2,163,87,3,405,40,NA,NA,NA,21,1161,286,1,22,5,2,1624,253,3,290,35,2,29,5,14,416,48
Amphistomiasis,NA,NA,NA,12,375,54,17,772,4,49,1393,NA,150,9497,20,186,11758,59,132,14996,29,108,11068,12,117,11192,11,154,16760,26,95,9153,43
Schistosomiasis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,87,NA,NA,NA,NA,2,2,NA,NA,NA,NA,4,4,0,56,935,0,NA,NA,NA
Swine Fever,54,4697,2539,40,4519,2327,93,2996,950,95,2027,894,136,5267,1646,418,17002,2932,284,4018,1371,252,3612,1977,117,16507,5902,69,1726,289,34,778,259
Salmonellosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2952,87,67,120923,7129,61,NA,1002,124,116453,4646,46,54303,2650,34,75551,2284,60,43942,1614,42,60551,1827
Coccidiosis,313,85864,4199,335,23763,11763,204,11407,4612,203,16213,2859,383,110617,14808,548,NA,NA,738,183979,26001,504,171349,25388,438,213949,27833,422,283219,8976,219,133544,5014
Ranikhet (New Castle) Disease,391,72741,13125,391,36416,10120,280,75726,14423,230,72959,10317,412,185114,16273,497,NA,NA,886,240438,24016,645,177262,34488,423,179218,23275,311,1052633,18943,198,693840,12615
Fowl Pox,79,2574,3131,44,1566,388,72,3787,388,90,6944,1122,122,16702,1816,141,21046,2201,235,19122,1682,260,24121,1177,212,80449,1624,214,322734,1264,141,28160,1114
Fowl Cholera,1,2,2,4,284,152,6,307,294,8,2727,871,26,2158,1789,28,2316,2097,143,7999,2276,129,38478,24868,151,63118,26002,67,155820,2853,15,11033,6700
Mareks Disease,NA,NA,NA,6,925,925,NA,NA,NA,NA,NA,NA,1,300,1,1,4,4,1,100,50,NA,NA,NA,7,20626,261,48,1372548,4767,14,932000,1530
I.B.D.,249,112392,11402,260,20198,12117,177,28048,7292,93,17348,5605,127,33458,7594,169,61781,1575,338,86381,24199,210,59671,13264,273,230,28434,183,1040807,22127,116,642444,9974
