"Disease","Species","Outbreak","Attack","Death",""
"Foot & Mouth Disease","Bovine","818","17900","633",""
"Foot & Mouth Disease","Buffalo","10","5494","246",""
"Foot & Mouth Disease","Ovine/ Caprine","22","1577","135",""
"Foot & Mouth Disease","Swine","29","287","12",""
"Haemorrhagic Septicaemia","Bovine","177","1449","342",""
"Haemorrhagic Septicaemia","Ovine/Caprine","5","167","42",""
"Haemorrhagic Septicaemia","Buffalo","66","2481","402",""
"Black Quarter","Bovine","279","1554","600",""
"Black Quarter","Buffalo","0","21","6",""
"Anthrax","Bovine","24","95","73",""
"Anthrax","Ovine/Caprine","8","127","35",""
"Fascioliasis","Bovine","143","772307","18",""
"Fascioliasis","Ovine/Caprine","2","131","2",""
"Fascioliasis","Canine","4","23","3",""
"Fascioliasis","Buffalo","5","830","0",""
"Fascioliasis","Equine","0","1","0",""
"Enterotoxaemia","Ovine/Caprine","25","457","97",""
"Enterotoxaemia","Bovine","6","157","5",""
"Sheep & Goat Pox","Ovine/Caprine","116","2360","236",""
"Blue Tongue","Ovine/Caprine","5","159","65",""
"Contagious Caprine Pleuropneumonia","Ovine/Caprine","2","1624","253",""
"Amphistomiasis","Bovine","108","11047","12",""
"Amphistomiasis","Ovine/Caprine","0","21","0",""
"Swine Fever","Swine","252","3612","1977",""
"Salmonellosis","Avian","46","54303","2650",""
"Coccidiosis","Bovine","17","125","0",""
"Coccidiosis","Ovine/Caprine","15","122","5",""
"Coccidiosis","Avian","468","170998","25383",""
"Coccidiosis","Swine","3","21","0",""
"Coccidiosis","Buffalo","1","73","0",""
"Coccidiosis","Canine","0","10","0",""
"Ranikhet (New Castle) Disease","Avian","645","177262","34488",""
"Fowl Pox","Avian","260","24121","1177",""
"Fowl Cholera","Avian","129","38478","24868",""
"I.B.D.","Avian","210","59671","13264",""
"Duck Plague","Avian","52","1605","398",""
"Chronic Respiratory Disease","Avian","318","167116","57094",""
"Canine Distemper","Canine","72","1166","58",""
"Rabies","Bovine","60","306","306",""
"Rabies","Canine","20","152","152",""
"Rabies","Buffaloe","2","96","96",""
"Rabies","Ovine/Caprine","1","1","1",""
"Babesiosis","Bovine","116","5228","8",""
"Babesiosis","Buffalo","4","3357","0",""
"Babesiosis","Ovine/Caprine","1","2","0",""
"Mastitis","Bovine","139","9459","2",""
"Mastitis","Ovine/Caprine","0","28","0",""
"Trypanismiasis","Bovine","63","1744","27",""
"Trypanismiasis","Buffalo","13","2552","1",""
"Mange","Bovine","10","100","0",""
"Mange","Ovine/Caprine","54","1895","5",""
"Mange","Swine","2","50","0",""
"Mange","Canine","8","266","0",""
"Peste Des Petits Ruminant","Ovine/Caprine","128","7281","1520",""
"Anaplasmosis","Bovine","26","211","7",""
"Anaplasmosis","Buffalo","1","10","0",""
"Brucellosis","Bovine","4","7","0",""
"Brucellosis","Buffalo","1","5","0",""
"Coryza","Avian","7","55800","33",""
"Avian Influenza","Avian","11","20647","20647",""
"Avian Influenza","Fau","0","16","16",""
"Glanders","Equine","1","6","5",""
